"id","name","link","menu_link","rating","reviews","price"
96,"La Casa Di Carta","https://www.tripadvisor.com/Restaurant_Review-g293736-d15291633-Reviews-La_Casa_Di_Carta-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",12,"$"
97,"La Brise","https://www.tripadvisor.com/Restaurant_Review-g293736-d26264672-Reviews-La_Brise-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",9,NULL
98,"La Table du Terminus","https://www.tripadvisor.com/Restaurant_Review-g293736-d9607957-Reviews-La_Table_du_Terminus-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",53,"$$$$"
99,"Pizza Ricca","https://www.tripadvisor.com/Restaurant_Review-g293736-d8477817-Reviews-Pizza_Ricca-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",13,"$"
100,"pietri palace","https://www.tripadvisor.com/Restaurant_Review-g293736-d6553288-Reviews-Pietri_palace-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",42,"$$ - $$$"
101,"Yoka Sushi","https://www.tripadvisor.com/Restaurant_Review-g293736-d2267681-Reviews-Yoka_Sushi-Rabat_Rabat_Sale_Kenitra.html","http://yokosushi1.com/menu.html","3.5",88,"$$ - $$$"
102,"Two Brothers Restaurant Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d16652881-Reviews-Two_Brothers_Restaurant_Rabat-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/pg/twobrothersrabat/photos/?tab=album&album_id=2391172614533481","4",34,"$$ - $$$"
103,"Restaurant Marocain Dar Safran","https://www.tripadvisor.com/Restaurant_Review-g293736-d14109813-Reviews-Restaurant_Marocain_Dar_Safran-Rabat_Rabat_Sale_Kenitra.html","https://qrco.de/bdJqd5","3.5",21,"$$ - $$$"
104,"Restaurant La Bamba","https://www.tripadvisor.com/Restaurant_Review-g293736-d1216406-Reviews-Restaurant_La_Bamba-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",46,"$$ - $$$"
105,"Dom Petiscos","https://www.tripadvisor.com/Restaurant_Review-g293736-d15028727-Reviews-Dom_Petiscos-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",48,"$$ - $$$"
106,"Eatalia ","https://www.tripadvisor.com/Restaurant_Review-g293736-d25352400-Reviews-Eatalia-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",5,"$$ - $$$"
107,"Bab Alhara","https://www.tripadvisor.com/Restaurant_Review-g293736-d24997400-Reviews-Bab_Alhara-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",2,NULL
108,"Indian Flavors Restaurant & Café","https://www.tripadvisor.com/Restaurant_Review-g293736-d26503526-Reviews-Indian_Flavors_Restaurant_Cafe-Rabat_Rabat_Sale_Kenitra.html","https://indianflavors.ma/wp-content/uploads/Indian-Flavors-Menu.pdf","3.5",18,"$$ - $$$"
109,"L'etoile Du Chef","https://www.tripadvisor.com/Restaurant_Review-g293736-d19466834-Reviews-L_etoile_Du_Chef-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",14,"$"
110,"Restaurant Best Wishes Grillades","https://www.tripadvisor.com/Restaurant_Review-g293736-d23116023-Reviews-Restaurant_Best_Wishes_Grillades-Rabat_Rabat_Sale_Kenitra.html","https://web.facebook.com/bestwishes.rabat/photos/a.102260145216053/107509854691082/","5",8,"$"
111,"L'entrecote","https://www.tripadvisor.com/Restaurant_Review-g293736-d3619555-Reviews-L_entrecote-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",87,"$$ - $$$"
112,"Dar Baddi","https://www.tripadvisor.com/Restaurant_Review-g293736-d15189451-Reviews-Dar_Baddi-Rabat_Rabat_Sale_Kenitra.html","http://darbaddi.com/menu/","4",19,"$$ - $$$"
113,"Da Milena","https://www.tripadvisor.com/Restaurant_Review-g293736-d28317283-Reviews-Da_Milena-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",2,NULL
114,"Tuscan Bistro Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d26820028-Reviews-Tuscan_Bistro_Rabat-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",8,"$$ - $$$"
115,"American pub","https://www.tripadvisor.com/Restaurant_Review-g293736-d15931916-Reviews-American_pub-Rabat_Rabat_Sale_Kenitra.html","https://www.facebook.com/americanpubrabat/menu/","4.5",12,"$$ - $$$"
197,"Al Andalous grille&co","https://www.tripadvisor.com/Restaurant_Review-g293736-d19756380-Reviews-Al_Andalous_grille_co-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",2,NULL
117,"Boqueria Fina","https://www.tripadvisor.com/Restaurant_Review-g293736-d23462903-Reviews-Boqueria_Fina-Rabat_Rabat_Sale_Kenitra.html","http://boqueriafina.ma/menu/","3.5",16,"$$$$"
118,"Kiotori","https://www.tripadvisor.com/Restaurant_Review-g293736-d779617-Reviews-Kiotori-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",35,"$$ - $$$"
119,"Burger King Agdal","https://www.tripadvisor.com/Restaurant_Review-g293736-d12909365-Reviews-Burger_King_Agdal-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",26,"$"
120,"Pizza Des Gourmets","https://www.tripadvisor.com/Restaurant_Review-g293736-d14215716-Reviews-Pizza_Des_Gourmets-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",5,"$"
121,"La Peniche","https://www.tripadvisor.com/Restaurant_Review-g293736-d1536834-Reviews-La_Peniche-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",31,"$$ - $$$"
122,"Panda","https://www.tripadvisor.com/Restaurant_Review-g293736-d23739102-Reviews-Panda-Rabat_Rabat_Sale_Kenitra.html",NULL,"3",25,"$$ - $$$"
123,"Restaurant Dar El Houte","https://www.tripadvisor.com/Restaurant_Review-g293736-d7337151-Reviews-Restaurant_Dar_El_Houte-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",41,"$$ - $$$"
124,"Zerda","https://www.tripadvisor.com/Restaurant_Review-g293736-d2439466-Reviews-Zerda-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",51,"$$ - $$$"
125,"Baiana Lounge","https://www.tripadvisor.com/Restaurant_Review-g293736-d26528797-Reviews-Baiana_Lounge-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",7,"$$ - $$$"
126,"La Terrazza","https://www.tripadvisor.com/Restaurant_Review-g293736-d10915746-Reviews-La_Terrazza-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",10,"$$ - $$$"
127,"El Bahia","https://www.tripadvisor.com/Restaurant_Review-g293736-d10343717-Reviews-El_Bahia-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",17,"$"
128,"Grillade Adil","https://www.tripadvisor.com/Restaurant_Review-g293736-d5430206-Reviews-Grillade_Adil-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",34,"$"
